city,county
Middlebie,Dumfries and Galloway
Bransgore,Hampshire
Birthorpe,Lincolnshire
Ashover,Derbyshire
Llandeilor-Fan,Powys
Bonby,North Lincolnshire
Whitwell,Isle of Wight
Stocksfield,Northumberland
Ainsdale,Sefton
Reddish,Stockport
Boltongate,Cumbria
New Kelso,Highland
Plumpton Green,East Sussex
Kinloch Hourn,Highland
Moneyreagh,Lisburn and Castlereagh
Great Packington,Warwickshire
Winterbourne Gunner,Wiltshire
Horsham Saint Faith,Norfolk
Helperthorpe,North Yorkshire
Dalmuir,West Dunbartonshire
Quakers Yard,Merthyr Tydfil
Dilham,Norfolk
Tarbert,Highland
Banff,Aberdeenshire
Coa,Fermanagh and Omagh
Shepperdine,South Gloucestershire
Taynton,Oxfordshire
Shilbottle,Northumberland
Tarnbrook,Lancashire
Ousden,Suffolk
Ankerville,Highland
West Bagborough,Somerset
Abbots Bromley,Staffordshire
Thornton,Buckinghamshire
Juniper Green,"Edinburgh, City of"
Dalwhinnie,Highland
Piddlehinton,Dorset
Ilton,Somerset
Shorncliffe Camp,Kent
Sealand,Cheshire West and Chester
Monks Eleigh,Suffolk
Melverley,Shropshire
Golant,Cornwall
Stubbins,Bury
Ditchling,East Sussex
Atwick,East Riding of Yorkshire
Chiddingstone,Kent
Withypool,Somerset
Elwick,Hartlepool
Bygrave,Hertfordshire
Albury,Surrey
Bessbrook,"Newry, Mourne and Down"
Killead,Antrim and Newtownabbey
Tarbet,Highland
Sledmere,East Riding of Yorkshire
Claines,Worcestershire
Upper Borth,Ceredigion
Oldhamstocks,"Scottish Borders, The"
Hatherleigh,Devon
Manuden,Essex
Alphington,Devon
Withcall,Lincolnshire
Aughamullan,Mid Ulster
Uffington,Oxfordshire
High Ackworth,Wakefield
Durweston,Dorset
Northfield,Birmingham
Madeley Heath,Staffordshire
Allhallows,Medway
Elmbridge,Worcestershire
Amisfield Town,Dumfries and Galloway
Langton,Lincolnshire
Fordham,Cambridgeshire
Wardle,Rochdale
Mellon Charles,Highland
Ashwater,Devon
Cogenhoe,Northamptonshire
North Barsham,Norfolk
Cosgrove,Northamptonshire
Drumburgh,Cumbria
Llanllugan,Powys
Upottery,Devon
Great Barr,Sandwell
Glassonby,Cumbria
Penley,Wrexham
Kinlochmoidart,Highland
Stanhoe,Norfolk
Sandhurst,Kent
Baverstock,Wiltshire
Cilybebyll,Neath Port Talbot
Wortley,Barnsley
Broomfield,Somerset
Wakerley,Northamptonshire
Achlyness,Highland
Elford,Staffordshire
Eastdean,East Sussex
Bullington,Hampshire
North Tawton,Devon
Caldercruix,North Lanarkshire
Ufton,Warwickshire
Newton Longville,Buckinghamshire
Great Carlton,Lincolnshire
Beeley,Derbyshire
Stockton on Teme,Worcestershire
Evanton,Highland
Matfen,Northumberland
Upper Eathie,Highland
Pont Rhyd-y-cyff,Bridgend
Mosbrough,Sheffield
North Stoke,Oxfordshire
Walls,Shetland Islands
Dewsbury,Kirklees
Pulham Saint Mary Magdalene,Norfolk
Altofts,Wakefield
Aultmore,Moray
Brookeborough,Fermanagh and Omagh
Tremaine,Cornwall
Croxton,Staffordshire
Kelmarsh,Northamptonshire
Southdean,"Scottish Borders, The"
Hoghton,Lancashire
Monymusk,Aberdeenshire
Kirklington,North Yorkshire
Theberton,Suffolk
Stambourne,Essex
Starbotton,North Yorkshire
West Wemyss,Fife
Cofton Hackett,Worcestershire
Kenton,Newcastle upon Tyne
Coughton,Warwickshire
Shillingford,Devon
Silverdale,Staffordshire
Broadway,Somerset
Bathgate,West Lothian
Great Budworth,Cheshire West and Chester
Donaghadee,Ards and North Down
Holme,Kirklees
Cadzow,South Lanarkshire
Wormington,Gloucestershire
Whiteparish,Wiltshire
Muckamore,Antrim and Newtownabbey
East Laroch,Highland
Horderley,Shropshire
Stockbriggs,South Lanarkshire
Stoke Goldington,Milton Keynes
Wintringham,North Yorkshire
Kidlington,Oxfordshire
Cartmel,Cumbria
Llandrillo-yn-Rhos,Conwy
Aston End,Hertfordshire
Wrestlingworth,Central Bedfordshire
Saint Columb Minor,Cornwall
Easington,East Riding of Yorkshire
Cam Houses,North Yorkshire
Stoke Poges,Buckinghamshire
Pumpherston,West Lothian
Albury,Hertfordshire
Beaford,Devon
Stow,Shropshire
Staindrop,Durham
Norton,Hertfordshire
Meyllteyrn,Gwynedd
Stoke by Clare,Suffolk
Culmington,Shropshire
Great Gransden,Cambridgeshire
Hartford,Cheshire West and Chester
Heathfield,East Sussex
Acharacle,Highland
Whitechurch,Pembrokeshire
Brockton,Shropshire
Angersleigh,Somerset
Cullingworth,Bradford
Darlton,Nottinghamshire
Beckingham,Nottinghamshire
Puttenham,Hertfordshire
Creeting Saint Mary,Suffolk
Easter Clynekirkton,Highland
Streetly,Walsall
Wendens Ambo,Essex
Ludham,Norfolk
Westfield,West Lothian
Aber Cowarch,Gwynedd
Reed,Hertfordshire
Cote,Somerset
Dunmore,"Newry, Mourne and Down"
Rowston,Lincolnshire
Roag,Highland
Turnastone,Herefordshire
Haughton le Skerne,Darlington
Newmilns,East Ayrshire
Ardrishaig,Argyll and Bute
Kineton,Gloucestershire
Waterlooville,Hampshire
Abergwili,Carmarthenshire
Elswick,Lancashire
Overcombe,Dorset
Norton in Hales,Shropshire
Dalmally,Argyll and Bute
Hungerford,West Berkshire
Llangwyllog,Isle of Anglesey
Ashton,Tameside
Sandon,Staffordshire
Canklow,Rotherham
Ingram,Northumberland
Pitcaple,Aberdeenshire
Kirktown of Alvah,Aberdeenshire
Inver Mallie,Highland
Bishop Wilton,East Riding of Yorkshire
Devils Bridge,Ceredigion
Talog,Carmarthenshire
Sutton under Brailes,Warwickshire
East Farndon,Northamptonshire
Morfa Nefyn,Gwynedd
Magheragall,Lisburn and Castlereagh
Polmood,"Scottish Borders, The"
Butley,Suffolk
Oakham,Rutland
Cyffic,Carmarthenshire
Saint Davids,Fife
Ardeer Square,North Ayrshire
Wilcot,Wiltshire
Cambusbarron,Stirling
Rathmell,North Yorkshire
Boot,Cumbria
Newton Reigny,Cumbria
Laughton,Lincolnshire
Stratfield Mortimer,West Berkshire
Swindon,Gloucestershire
Swettenham,Cheshire East
Willen,Milton Keynes
Lyng,Somerset
Cropton,North Yorkshire
Wetherby,Leeds
Voe,Shetland Islands
Birdingbury,Warwickshire
Kimpton,Hertfordshire
Port Talbot,Neath Port Talbot
Ollach,Highland
Guestling,East Sussex
Pentre-Morgan,Carmarthenshire
Rampside,Cumbria
Hempstead,Norfolk
Henllan Amgoed,Carmarthenshire
Bigby,Lincolnshire
Dryslwyn,Carmarthenshire
Gortinanane,Argyll and Bute
Saint Bees,Cumbria
Rosyth,Fife
Roughton,Norfolk
Glynn,Mid and East Antrim
Hollym,East Riding of Yorkshire
Kilnhurst,Rotherham
Coryton,Devon
Carlton,North Yorkshire
Lutterworth,Leicestershire
Croston,Lancashire
Hopes,East Lothian
Lutton,Lincolnshire
Llangybi,Ceredigion
Ravenstone,Leicestershire
Bridford,Devon
Carbost,Highland
Lonbain,Highland
Whiston,Rotherham
Chalford,Gloucestershire
Ampney Saint Peter,Gloucestershire
Blaenavon,Torfaen
Kirby Sigston,North Yorkshire
Shuttington,Warwickshire
Hassocks,West Sussex
South Hetton,Durham
Baughurst,Hampshire
Hewelsfield,Gloucestershire
Kilmory,North Ayrshire
Lilliesleaf,"Scottish Borders, The"
Clabby,Fermanagh and Omagh
Publow,Bath and North East Somerset
Sotherton,Suffolk
Holton le Moor,Lincolnshire
Curland,Somerset
Grahamston,Falkirk
Mydroilin,Ceredigion
Cerne Abbas,Dorset
Crowland,Lincolnshire
Berwick-Upon-Tweed,Northumberland
Lambourn,West Berkshire
Kirklevington,Stockton-on-Tees
Lackenby,Redcar and Cleveland
Ardsley East,Leeds
Bagworth,Leicestershire
Hampreston,Dorset
Marton,Warwickshire
Pierowall,Orkney Islands
Cuddesdon,Oxfordshire
Tullyverry,Causeway Coast and Glens
Glenridding,Cumbria
Brattleby,Lincolnshire
Bolton upon Dearne,Barnsley
Botolph Claydon,Buckinghamshire
Earlston,"Scottish Borders, The"
Oxton,"Scottish Borders, The"
Heaton Chapel,Stockport
Bolnhurst,Bedford
