"selection1_image","selection1_url"
"https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Flag_of_Angus.png/100px-Flag_of_Angus.png","https://en.wikipedia.org/wiki/File:Flag_of_Angus.png"
"https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Flag_of_Cambridgeshire.svg/100px-Flag_of_Cambridgeshire.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_Cambridgeshire.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Cornwall.svg/100px-Flag_of_Cornwall.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_Cornwall.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/County_Flag_of_Cumbria.svg/100px-County_Flag_of_Cumbria.svg.png","https://en.wikipedia.org/wiki/File:County_Flag_of_Cumbria.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Flag_of_Durham_County_Council.svg/100px-Flag_of_Durham_County_Council.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_Durham_County_Council.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Flag_of_East_Sussex.svg/100px-Flag_of_East_Sussex.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_East_Sussex.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Unofficial_County_Flag_of_Greater_Manchester.svg/100px-Unofficial_County_Flag_of_Greater_Manchester.svg.png","https://en.wikipedia.org/wiki/File:Unofficial_County_Flag_of_Greater_Manchester.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/County_Flag_of_Hampshire.svg/100px-County_Flag_of_Hampshire.svg.png","https://en.wikipedia.org/wiki/File:County_Flag_of_Hampshire.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/County_Flag_Of_Herefordshire.svg/100px-County_Flag_Of_Herefordshire.svg.png","https://en.wikipedia.org/wiki/File:County_Flag_Of_Herefordshire.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/FlagOfHertfordshire.PNG/100px-FlagOfHertfordshire.PNG","https://en.wikipedia.org/wiki/File:FlagOfHertfordshire.PNG"
"https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Flag_of_the_Isle_of_Wight.svg/100px-Flag_of_the_Isle_of_Wight.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_the_Isle_of_Wight.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Lancashire_County_Council.svg/100px-Flag_of_Lancashire_County_Council.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_Lancashire_County_Council.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Leicestershire.svg/100px-Flag_of_Leicestershire.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_Leicestershire.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/County_Flag_of_Norfolk.svg/100px-County_Flag_of_Norfolk.svg.png","https://en.wikipedia.org/wiki/File:County_Flag_of_Norfolk.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Flag_of_Northumberland.svg/100px-Flag_of_Northumberland.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_Northumberland.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/2007_Flag_of_Orkney.svg/100px-2007_Flag_of_Orkney.svg.png","https://en.wikipedia.org/wiki/File:2007_Flag_of_Orkney.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Rutland_County_Flag.svg/100px-Rutland_County_Flag.svg.png","https://en.wikipedia.org/wiki/File:Rutland_County_Flag.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Shetland.svg/100px-Flag_of_Shetland.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_Shetland.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Banner_of_arms_of_Staffordshire_council.png/100px-Banner_of_arms_of_Staffordshire_council.png","https://en.wikipedia.org/wiki/File:Banner_of_arms_of_Staffordshire_council.png"
"https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/County_Flag_of_Warwickshire.svg/100px-County_Flag_of_Warwickshire.svg.png","https://en.wikipedia.org/wiki/File:County_Flag_of_Warwickshire.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Flag_of_West_Sussex.svg/100px-Flag_of_West_Sussex.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_West_Sussex.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/County_Flag_of_Worcestershire.png/100px-County_Flag_of_Worcestershire.png","https://en.wikipedia.org/wiki/File:County_Flag_of_Worcestershire.png"
