Original URL,post_title,SKU,short_description,Price,quantities,uk_categories,Description,Usage,Image,affiliate_link,total_reviews,review_stars,Ingredients,Tags,youtube_video_link
https://shopnow.foreverliving.com/gbr/en-gb/products/027-FOREVER-BEE-PROPOLIS,FOREVER BEE PROPOLIS,Item# 027,Propolis is the protective substance gathered and used by bees to disinfect and protect their hives.,£30.40,60 tablets,Best Sellers,"Superior quality and purity you can trust No artificial colours or flavours added Contains natural nutritional compounds Chewable and easily digested Vegetarian friendly Gluten free Propolis is the protective substance gathered and used by bees to disinfect and protect their hives from pathogens. We have been producing propolis supplements for decades and we re one of the oldest manufacturers on the market proud to offer superior quality and purity you can trust.Forever Bee Propolis packs all the benefits of propolis into a chewable tablet that s easily digestible and absorbed.

","Take one tablet, twice daily.
Warning: Keep out of reach of young children. Store tightly closed in a cool, dry place. Do not use if seal under cap is broken or missing. Food supplements should not be used as a substitute for a varied and balanced diet and a healthy lifestyle. Do not exceed the stated recommended daily dose.",https://cdn.foreverliving.com/content/products/images/forever_bee_propolis_pd_main_512_X_512_1668766896976.jpg,https://shopnow.foreverliving.com/gbr/en-gb/products/027-FOREVER-BEE-PROPOLIS?store=GBR&distribID=200002416566&language=en,4 Reviews,5.0,"Bee propolis, soy protein isolate, emulsifier (carob),honey, anti-caking agent (silicon dioxide), almond flavour, thickening agent (croscarmellose sodium), anti-caking agent (stearic acid), royal jelly. Allergy advice: for allergens, see ingredients in bold.","FOREVERBEEPROPOLIS,BestSellers,FLP,United Kinddom,UK,GBR, GB,ForeverLivingProducts,BuyAloeProducts,BuyAloeProducts.com,AloeVera,AloeVeraProducts,Healthy,Health",
https://shopnow.foreverliving.com/gbr/en-gb/products/027-FOREVER-BEE-PROPOLIS,FOREVER BEE PROPOLIS,Item# 027,Propolis is the protective substance gathered and used by bees to disinfect and protect their hives.,£30.40,60 tablets,All Products,"Superior quality and purity you can trust No artificial colours or flavours added Contains natural nutritional compounds Chewable and easily digested Vegetarian friendly Gluten free Propolis is the protective substance gathered and used by bees to disinfect and protect their hives from pathogens. We have been producing propolis supplements for decades and we re one of the oldest manufacturers on the market proud to offer superior quality and purity you can trust.Forever Bee Propolis packs all the benefits of propolis into a chewable tablet that s easily digestible and absorbed.

","Take one tablet, twice daily.
Warning: Keep out of reach of young children. Store tightly closed in a cool, dry place. Do not use if seal under cap is broken or missing. Food supplements should not be used as a substitute for a varied and balanced diet and a healthy lifestyle. Do not exceed the stated recommended daily dose.",https://cdn.foreverliving.com/content/products/images/forever_bee_propolis_pd_main_512_X_512_1668766896976.jpg,https://shopnow.foreverliving.com/gbr/en-gb/products/027-FOREVER-BEE-PROPOLIS?store=GBR&distribID=200002416566&language=en,4 Reviews,5.0,"Bee propolis, soy protein isolate, emulsifier (carob),honey, anti-caking agent (silicon dioxide), almond flavour, thickening agent (croscarmellose sodium), anti-caking agent (stearic acid), royal jelly. Allergy advice: for allergens, see ingredients in bold.","FOREVERBEEPROPOLIS,BestSellers,FLP,United Kinddom,UK,GBR, GB,ForeverLivingProducts,BuyAloeProducts,BuyAloeProducts.com,AloeVera,AloeVeraProducts,Healthy,Health",
https://shopnow.foreverliving.com/gbr/en-gb/products/051-ALOE-PROPOLIS-CREME,ALOE PROPOLIS CREME,Item# 051,"A rich, creamy blend of aloe vera, bee propolis and chamomile that helps maintain healthy, beautiful skin tone and texture.",£17.34,113g,Best Sellers,"The best of aloe and the hive Rich blend of aloe vera and bee propolis Helps maintain beautiful skin tone and texture Nourishing and moisturising Helps soothe skin Vegetarian friendly Only Forever could create a product as inventive as Aloe Propolis Creme. This nourishing cream combines two of our most prized ingredients pure inner leaf aloe vera gel and bee propolis. Together these two fundamental elements help your skin maintain beautiful tone and texture.Bee propolis is a resinous substance that bees create to fortify their hives. This powerful substance also has properties that creates a natural barrier on your skin locking in the natural skincare benefits of aloe and helping to rejuvenate skin for a smooth supple look and feel.Aloe vera combined with vitamins A E and C works to nourish and moisturise the skin whilst added Chamomile enhances the soothing power of Aloe Propolis Creme.It s easy to see why Aloe Propolis Creme is one of Forever s flagship products. Treat your skin to the soothing nourishing and protecting power packed inside every bottle. Please note packaging at Forever Centres may vary GS1 number 8720359220417

","Apply liberally as needed.
Please note: Before using any topical product for the first time, it is advisable to do a patch test.",https://cdn.foreverliving.com/content/products/images/aloe_propolis_creme_pd_main_512_X_512_1668767315167.jpg,https://shopnow.foreverliving.com/gbr/en-gb/products/051-ALOE-PROPOLIS-CREME?store=GBR&distribID=200002416566&language=en,40 Reviews,5.0,"Aloe barbadensis leaf juice, glyceryl stearate, propylene glycol, cetyl alcohol, lanolin, PEG-100 stearate, propolis extract, chamomilla recutita flower extract, ethylhexyl palmitate, ethylhexyl stearate, diethylhexyl adipate, sorbitol, lanolin alcohol, dimethicone, tocopherol, glycine soya oil, beta-carotene, zea mays oil, allantoin, triethanolamine, ascorbic acid, disodium EDTA, citric acid, parfum, coumarin, potassium sorbate, sodium benzoate, diazolidinyl urea, methylparaben, propylparaben.
Allergens: contains Lanolin.","ALOEPROPOLISCREME,BestSellers,FLP,United Kinddom,UK,GBR, GB,ForeverLivingProducts,BuyAloeProducts,BuyAloeProducts.com,AloeVera,AloeVeraProducts,Healthy,Health",
https://shopnow.foreverliving.com/gbr/en-gb/products/051-ALOE-PROPOLIS-CREME,ALOE PROPOLIS CREME,Item# 051,"A rich, creamy blend of aloe vera, bee propolis and chamomile that helps maintain healthy, beautiful skin tone and texture.",£17.34,113g,All Products,"The best of aloe and the hive Rich blend of aloe vera and bee propolis Helps maintain beautiful skin tone and texture Nourishing and moisturising Helps soothe skin Vegetarian friendly Only Forever could create a product as inventive as Aloe Propolis Creme. This nourishing cream combines two of our most prized ingredients pure inner leaf aloe vera gel and bee propolis. Together these two fundamental elements help your skin maintain beautiful tone and texture.Bee propolis is a resinous substance that bees create to fortify their hives. This powerful substance also has properties that creates a natural barrier on your skin locking in the natural skincare benefits of aloe and helping to rejuvenate skin for a smooth supple look and feel.Aloe vera combined with vitamins A E and C works to nourish and moisturise the skin whilst added Chamomile enhances the soothing power of Aloe Propolis Creme.It s easy to see why Aloe Propolis Creme is one of Forever s flagship products. Treat your skin to the soothing nourishing and protecting power packed inside every bottle. Please note packaging at Forever Centres may vary GS1 number 8720359220417

","Apply liberally as needed.
Please note: Before using any topical product for the first time, it is advisable to do a patch test.",https://cdn.foreverliving.com/content/products/images/aloe_propolis_creme_pd_main_512_X_512_1668767315167.jpg,https://shopnow.foreverliving.com/gbr/en-gb/products/051-ALOE-PROPOLIS-CREME?store=GBR&distribID=200002416566&language=en,40 Reviews,5.0,"Aloe barbadensis leaf juice, glyceryl stearate, propylene glycol, cetyl alcohol, lanolin, PEG-100 stearate, propolis extract, chamomilla recutita flower extract, ethylhexyl palmitate, ethylhexyl stearate, diethylhexyl adipate, sorbitol, lanolin alcohol, dimethicone, tocopherol, glycine soya oil, beta-carotene, zea mays oil, allantoin, triethanolamine, ascorbic acid, disodium EDTA, citric acid, parfum, coumarin, potassium sorbate, sodium benzoate, diazolidinyl urea, methylparaben, propylparaben.
Allergens: contains Lanolin.","ALOEPROPOLISCREME,BestSellers,FLP,United Kinddom,UK,GBR, GB,ForeverLivingProducts,BuyAloeProducts,BuyAloeProducts.com,AloeVera,AloeVeraProducts,Healthy,Health",
https://shopnow.foreverliving.com/gbr/en-gb/products/067-ALOE-EVER-SHIELD-DEODORANT,ALOE EVER-SHIELD DEODORANT,Item# 067,Aloe Ever-Shield offers all-day protection against underarm odour with the soothing power of aloe. It is made without antiperspirants and aluminum salts so it’s gentle enough for use after showering or waxing without irritation.,£7.03,92.1g,Best Sellers,"All day odor protection with the soothing power of aloe Contains no aluminum salt Great for all skin types even sensitive Rich soothing texture Does not stain clothes Vegetarian and vegan friendly Gluten free Fresh scented and gentle on sensitive skin Aloe Ever Shield offers all day protection against underarm odour with the soothing power of aloe. This deodorant contains no aluminum salts so you can apply directly after showering or waxing without irritation.Just like all Forever aloe products Aloe Ever Shield is made using pure inner leaf aloe vera gel from our own plantations. Made with natural ingredients this deodorant glides on smoothly and does not stain clothes. The clean pleasant aroma is never overpowering.Maintain that fresh feeling all day even when the temperature rises and pressure is on. Tackle the day with confidence knowing Aloe Ever Shield is here to keep you feeling fresh and clean. GS1 number 8720359220431

","Apply Aloe Ever-Shield Deodorant under your arms every day for a fresh and clean feeling all day long. Can be used on feet too.
Please note: It is advisable to perform a patch test before using any topical product for the first time.",https://cdn.foreverliving.com/content/products/images/aloe_ever-shield_deodorant_pd_main_512_X_512_1586871015865.jpg,https://shopnow.foreverliving.com/gbr/en-gb/products/067-ALOE-EVER-SHIELD-DEODORANT?store=GBR&distribID=200002416566&language=en,44 Reviews,4.9,"Propylene Glycol, Aqua, Sodium Stearate, Aloe Barbadensis Leaf Juice, Triclosan, Citric Acid, Parfum, Hexyl Cinnamal, Benzyl Salicylate, Linalool, Geraniol, Citronellol, Benzyl Cinnamate, Amyl Cinnamal, Eugenol, Alpha-Isomethyl Ionone, Limonene, Diazolidinyl Urea, Potassium Sorbate, Sodium Benzoate, Methylparaben.","ALOEEVERSHIELDDEODORANT,BestSellers,FLP,United Kinddom,UK,GBR, GB,ForeverLivingProducts,BuyAloeProducts,BuyAloeProducts.com,AloeVera,AloeVeraProducts,Healthy,Health",https://player.vimeo.com/video/293352347?loop=1&autoplay=0
https://shopnow.foreverliving.com/gbr/en-gb/products/067-ALOE-EVER-SHIELD-DEODORANT,ALOE EVER-SHIELD DEODORANT,Item# 067,Aloe Ever-Shield offers all-day protection against underarm odour with the soothing power of aloe. It is made without antiperspirants and aluminum salts so it’s gentle enough for use after showering or waxing without irritation.,£7.03,92.1g,All Products,"All day odor protection with the soothing power of aloe Contains no aluminum salt Great for all skin types even sensitive Rich soothing texture Does not stain clothes Vegetarian and vegan friendly Gluten free Fresh scented and gentle on sensitive skin Aloe Ever Shield offers all day protection against underarm odour with the soothing power of aloe. This deodorant contains no aluminum salts so you can apply directly after showering or waxing without irritation.Just like all Forever aloe products Aloe Ever Shield is made using pure inner leaf aloe vera gel from our own plantations. Made with natural ingredients this deodorant glides on smoothly and does not stain clothes. The clean pleasant aroma is never overpowering.Maintain that fresh feeling all day even when the temperature rises and pressure is on. Tackle the day with confidence knowing Aloe Ever Shield is here to keep you feeling fresh and clean. GS1 number 8720359220431

","Apply Aloe Ever-Shield Deodorant under your arms every day for a fresh and clean feeling all day long. Can be used on feet too.
Please note: It is advisable to perform a patch test before using any topical product for the first time.",https://cdn.foreverliving.com/content/products/images/aloe_ever-shield_deodorant_pd_main_512_X_512_1586871015865.jpg,https://shopnow.foreverliving.com/gbr/en-gb/products/067-ALOE-EVER-SHIELD-DEODORANT?store=GBR&distribID=200002416566&language=en,44 Reviews,4.9,"Propylene Glycol, Aqua, Sodium Stearate, Aloe Barbadensis Leaf Juice, Triclosan, Citric Acid, Parfum, Hexyl Cinnamal, Benzyl Salicylate, Linalool, Geraniol, Citronellol, Benzyl Cinnamate, Amyl Cinnamal, Eugenol, Alpha-Isomethyl Ionone, Limonene, Diazolidinyl Urea, Potassium Sorbate, Sodium Benzoate, Methylparaben.","ALOEEVERSHIELDDEODORANT,BestSellers,FLP,United Kinddom,UK,GBR, GB,ForeverLivingProducts,BuyAloeProducts,BuyAloeProducts.com,AloeVera,AloeVeraProducts,Healthy,Health",https://player.vimeo.com/video/293352347?loop=1&autoplay=0
https://shopnow.foreverliving.com/gbr/en-gb/products/196-FOREVER-FREEDOM,FOREVER FREEDOM,Item# 196,Wake up and get your day moving with this refreshing orange-flavoured aloe gel.,£33.90,1x 1000ml ,Best Sellers,"Aloe vera with added glucosamine chondroitin and MSM. 90 pure inner leaf aloe vera Orange flavoured Added glucosamine chondroitin and MSM Wake up and get your day moving with this refreshing orange flavoured aloe gel. Forever Freedom contains all the benefits of our plain gel but with added glucosamine chondroitin and MSM  popular with those who lead an active lifestyle. Aloe vera also helps to support immunity. GS1 number 8720359220257

","Take 60-120ml daily.
Warning: Store in a cool, dry place away from children. Food supplements are intended to supplement the diet and should not be substituted for a varied diet or healthy lifestyle. Do not use if pregnant and/or breastfeeding or people taking anticoagulant drugs. If in any doubt, consult your doctor if you have a medical condition or are on medication. Do not use if seal is broken. Do not exceed recommended dose.",https://cdn.foreverliving.com/content/products/images/forever_freedom_pd_main_512_X_512_1586338380304.jpg,https://shopnow.foreverliving.com/gbr/en-gb/products/196-FOREVER-FREEDOM?store=GBR&distribID=200002416566&language=en,33 Reviews,5.0,"Stabilised aloe vera gel, fructose, flavouring (orange juice concentrate), glucosamine sulfate (crustaceans), chondroitin sulfate, methyl sulfonyl methane, acidity regulator (citric acid), antioxidant (ascorbic acid), preservative (potassium sorbate, sodium benzoate), antioxidant (tocopherol).
Allergy advice: for allergens, see ingredients in bold.","FOREVERFREEDOM,BestSellers,FLP,United Kinddom,UK,GBR, GB,ForeverLivingProducts,BuyAloeProducts,BuyAloeProducts.com,AloeVera,AloeVeraProducts,Healthy,Health",https://player.vimeo.com/video/507043664?loop=1&autoplay=0
https://shopnow.foreverliving.com/gbr/en-gb/products/196-FOREVER-FREEDOM,FOREVER FREEDOM,Item# 196,Wake up and get your day moving with this refreshing orange-flavoured aloe gel.,£33.90,1x 1000ml ,All Products,"Aloe vera with added glucosamine chondroitin and MSM. 90 pure inner leaf aloe vera Orange flavoured Added glucosamine chondroitin and MSM Wake up and get your day moving with this refreshing orange flavoured aloe gel. Forever Freedom contains all the benefits of our plain gel but with added glucosamine chondroitin and MSM  popular with those who lead an active lifestyle. Aloe vera also helps to support immunity. GS1 number 8720359220257

","Take 60-120ml daily.
Warning: Store in a cool, dry place away from children. Food supplements are intended to supplement the diet and should not be substituted for a varied diet or healthy lifestyle. Do not use if pregnant and/or breastfeeding or people taking anticoagulant drugs. If in any doubt, consult your doctor if you have a medical condition or are on medication. Do not use if seal is broken. Do not exceed recommended dose.",https://cdn.foreverliving.com/content/products/images/forever_freedom_pd_main_512_X_512_1586338380304.jpg,https://shopnow.foreverliving.com/gbr/en-gb/products/196-FOREVER-FREEDOM?store=GBR&distribID=200002416566&language=en,33 Reviews,5.0,"Stabilised aloe vera gel, fructose, flavouring (orange juice concentrate), glucosamine sulfate (crustaceans), chondroitin sulfate, methyl sulfonyl methane, acidity regulator (citric acid), antioxidant (ascorbic acid), preservative (potassium sorbate, sodium benzoate), antioxidant (tocopherol).
Allergy advice: for allergens, see ingredients in bold.","FOREVERFREEDOM,BestSellers,FLP,United Kinddom,UK,GBR, GB,ForeverLivingProducts,BuyAloeProducts,BuyAloeProducts.com,AloeVera,AloeVeraProducts,Healthy,Health",https://player.vimeo.com/video/507043664?loop=1&autoplay=0
https://shopnow.foreverliving.com/gbr/en-gb/products/207-FOREVER-BEE-HONEY,FOREVER BEE HONEY,Item# 207,"There’s only one thing you’ll find in a bottle of Forever Bee Honey and that’s pure, natural and responsibly harvested honey. This complex nectar is not just a perfect natural sweetener, it’s good for you too!",£16.90,500g,Best Sellers,"A bottle of love from our honeybees to you  100 pure honey Sweet rich and smooth Vegetarian friendly Gluten free Not all honey is made equal and Forever Bee Honey remains one of our most popular products thanks to a pure taste that captures nutrition direct from the hive. This all natural delicious sweetener is naturally nutritious and perfect for replacing processed sugar in your diet. Thanks to its easy pour bottle this honey leaves no sticky mess and can easily be poured into porridge stirred into Aloe Blossom Herbal Tea or used in cooking. Consider it a gift from our bees to you  Please be advised that all Forever Bee Honey products ordered for delivery from today will have the new packaging. Any orders for Forever Bee Honey placed for collection from a Forever Centre will have the old packaging on the front of the product and new packaging on the back. This will only be for a short period whilst we deplete old stock.

","Can be eaten alone or as a natural food sweetener.
Warning: Not suitable for children under 12 months. Store at room temperature. Crystallisation may occur if stored incorrectly. If this happens, place the container in warm water.",https://cdn.foreverliving.com/content/products/images/forever_bee_honey_pd_main_512_X_512_1668767427087.jpg,https://shopnow.foreverliving.com/gbr/en-gb/products/207-FOREVER-BEE-HONEY?store=GBR&distribID=200002416566&language=en,14 Reviews,5.0,Pure honey.,"FOREVERBEEHONEY,BestSellers,FLP,United Kinddom,UK,GBR, GB,ForeverLivingProducts,BuyAloeProducts,BuyAloeProducts.com,AloeVera,AloeVeraProducts,Healthy,Health",
https://shopnow.foreverliving.com/gbr/en-gb/products/207-FOREVER-BEE-HONEY,FOREVER BEE HONEY,Item# 207,"There’s only one thing you’ll find in a bottle of Forever Bee Honey and that’s pure, natural and responsibly harvested honey. This complex nectar is not just a perfect natural sweetener, it’s good for you too!",£16.90,500g,All Products,"A bottle of love from our honeybees to you  100 pure honey Sweet rich and smooth Vegetarian friendly Gluten free Not all honey is made equal and Forever Bee Honey remains one of our most popular products thanks to a pure taste that captures nutrition direct from the hive. This all natural delicious sweetener is naturally nutritious and perfect for replacing processed sugar in your diet. Thanks to its easy pour bottle this honey leaves no sticky mess and can easily be poured into porridge stirred into Aloe Blossom Herbal Tea or used in cooking. Consider it a gift from our bees to you  Please be advised that all Forever Bee Honey products ordered for delivery from today will have the new packaging. Any orders for Forever Bee Honey placed for collection from a Forever Centre will have the old packaging on the front of the product and new packaging on the back. This will only be for a short period whilst we deplete old stock.

","Can be eaten alone or as a natural food sweetener.
Warning: Not suitable for children under 12 months. Store at room temperature. Crystallisation may occur if stored incorrectly. If this happens, place the container in warm water.",https://cdn.foreverliving.com/content/products/images/forever_bee_honey_pd_main_512_X_512_1668767427087.jpg,https://shopnow.foreverliving.com/gbr/en-gb/products/207-FOREVER-BEE-HONEY?store=GBR&distribID=200002416566&language=en,14 Reviews,5.0,Pure honey.,"FOREVERBEEHONEY,BestSellers,FLP,United Kinddom,UK,GBR, GB,ForeverLivingProducts,BuyAloeProducts,BuyAloeProducts.com,AloeVera,AloeVeraProducts,Healthy,Health",
